PartnerName,Email,Type,CalendlyLink,OnepagerAttached,MetricsAttached,Status,ReplyReceivedAt,CallScheduledAt,PilotStartDate
YouTube Gaming,partnerships@youtube-gaming.com,Platform,https://calendly.com/dfc-partners/pilot-kickoff,Yes,Yes,Pending,,
TikTok Creator Fund,creator-partnerships@tiktok.com,Platform,https://calendly.com/dfc-partners/pilot-kickoff,Yes,Yes,Pending,,
Twitch Creator Programs,partnerships@twitch.tv,Platform,https://calendly.com/dfc-partners/pilot-kickoff,Yes,Yes,Pending,,
Cloudflare CDN,sales@cloudflare.com,CDN,https://calendly.com/dfc-partners/pilot-kickoff,Yes,Yes,Pending,,
Akamai Edge,partnerships@akamai.com,CDN,https://calendly.com/dfc-partners/pilot-kickoff,Yes,Yes,Pending,,
PBC (Premier Boxing) ,partnerships@premierboxing.com,Promoter,https://calendly.com/dfc-partners/pilot-kickoff,Yes,Yes,Pending,,
UFC/Endeavor,partnerships@ufc.com,Promoter,https://calendly.com/dfc-partners/pilot-kickoff,Yes,Yes,Pending,,
RIZIN FF,international-partnerships@rizin.com,Promoter,https://calendly.com/dfc-partners/pilot-kickoff,Yes,Yes,Pending,,
ONE Championship,partnerships@onefc.com,Promoter,https://calendly.com/dfc-partners/pilot-kickoff,Yes,Yes,Pending,,
Stripe Payments,partnerships@stripe.com,Payments,https://calendly.com/dfc-partners/pilot-kickoff,Yes,Yes,Pending,,
